uuid,input_text
a141860e-d716-397b-884c-5b62989ea053,"NOM: Sci Le Bambois | TYPES: RentalAccommodation, AccommodationProduct | DESC:"
4ad0640a-a10c-3af0-b2c6-3b1c0253485d,"NOM: La boucle de la Moselle | TYPES: Landform, NaturalHeritage, River | DESC: Il y a des milliers d’années, la Moselle n’avait pas le même linéaire qu’à notre époque. Elle suivait un tracé Est-Ouest finissant dans la Meuse. Le creusement du plateau à l’est par une rivière locale, a créé un micro-changement dans le paysage. La Moselle se retrouvant plus haute que la Meurthe, elle se retrouve capturée par celle-ci, se détournant alors de son tracé original.  La Boucle de la Moselle actuelle est le nom donnée à cette portion de la rivière qui entoure la ville de Nancy par l’ouest traversant des paysagers variés et bucoliques. Les deux rivières que sont la Moselle et la Meurthe, assez proches et d’altitude semblable, furent alors reliées à la fin du XIXème siècle par un canal de jonction. La Boucle ainsi créé fut insérée dans les plans de navigations nationaux sur des axe est-ouest et nord-sud pour devenir le carrefour fluvial majeur en Lorraine.  Cette Boucle de la Moselle est aujourd’hui un espace d’échange entre ville et campagne, entre patrimoine mondial et patrimoine lorrain qui vous est facilement permis d’accéder. Venez à la découverte de ses paysages, de sa gastronomie et de son histoire le temps d’une balade à vélo."
c493e145-1da3-3071-980c-d9660a641ae4,"NOM: Cap sur l’Apollo – jeu de piste | TYPES: EntertainmentAndEvent, Event, CulturalEvent, ChildrensEvent | DESC: Les héros du festival ont besoin de votre aide. Dispersés tout autour du globe, ils comptent sur des aventuriers et aventurières comme vous pour retrouver le chemin de l’Apollo. En échange, une récompense super chouette vous attend ! Vos missions, si vous les acceptez, vous permettront de retrouver les personnages qui animent les projections du festival : des États-Unis au Japon en passant par l’Afrique et un voyage dans le temps ! Jouez en solo, en duo (parents-enfants bienvenus), en trio, quatuor ou plus… Réservations au cinéma Apollo : 02 54 60 18 34"
221a16ec-eac7-3d11-a6c6-2666ff66b9bd,"NOM: CENTRE DE VACANCES ""LES EREBES"" | TYPES: CollectiveAccommodation | DESC:"
022d7601-9f46-3fd4-b6f9-867c70fe87a9,"NOM: Gite Domaine Lespinasse | TYPES: RentalAccommodation | DESC: Dans la Vallée de la Vézère, le Domaine Lespinasse est une ancienne ferme rénovée composée de deux bâtiments qui sont non communicants et qui donne sur une cour centrale et une terrasse couverte. Le gite Domaine Lespinasse propose tout le confort moderne et dispose de six chambres pour douze personnes. Piscine au sel privative et chauffée, sécurisée par un volet roulant, ouverte de juin à fin septembre."
dce7f2af-9e6e-3cf8-a387-3636c8f1b37c,"NOM: Terrain de pétanque | TYPES: SportsAndLeisurePlace, BoulesPitch | DESC: Terrain de pétanque proche du port et du quartier des Issambres à San Peïre."
e500f002-8737-33d7-a7ec-34fb53bebec8,"NOM: Village de gîtes ""Le Mas de la Grenouillère"" | TYPES: CollectiveAccommodation | DESC: Cédric vous accueille avec plaisir au Mas de la Grenouillère, un petit havre de paix niché sur les hauteurs de Joyeuse, charmante cité médiévale du Sud Ardèche. Vous profiterez d’un gîte indépendant, dans une atmosphère familiale, détendue et chaleureuse."
701a763a-1baf-3a7d-b217-7af6c3448924,NOM: Little beauty | TYPES: BoutiqueOrLocalShop | DESC: Beauté et soins
6913b371-f93e-3b06-a27f-2db8fadf9b02,"NOM: Mini Loft Montargis Centre avec parking | TYPES: RentalAccommodation | DESC: Studio entièrement équipé. Arrivez avec votre valise... Fourniture consommables types dosettes café, thé, sucre, eau plate et gazeuse... Literie confortable en deux lits, serviettes de douche... Machine a laver le linge, fer a repasser, table a repasser... Télévision écran plat Smart télé Netflix. Lessive, adoucissant, gel douche, shampoings ... Possibilité de fournitures supplémentaire sur demande  pour votre plaisir type corbeille de fruit courses, boissons...(facturé en plus). Lit double en coin chambre et lit en mezzanine. Accès coin rivière, avec table chaises, au bout d'une sympathique ruelle typique.."
9b975828-cd6c-3415-bf20-10006c1af4d6,"NOM: City Grill buffet | TYPES: FoodEstablishment | DESC: Buffet à volonté de sushis, grillades et desserts."
db2cebdd-191b-33e9-8c31-a496681e7954,"NOM: Guerlédan Parc Aventure | TYPES: SportsAndLeisurePlace | DESC: Parcours acrobatique en hauteur : 11 zones d'activités, 29 tyroliennes, 2 parcours 4/7 ans, 5 parcours à partir de 7 ans et 4 parcours + de 13 ans. Au moins 2h30 d'activité.  Un système (le Seven) permet à l’utilisateur d’évoluer sur le Parcours Acrobatique en Hauteur en étant toujours attaché par la ligne de vie continue.  Prévoir une tenue adaptée à l'activité et aux conditions météo.  Le port de gants est obligatoire - chaussures fermées (sports) - cheveux long attachés - poches fermées.  Le Parcours acrobatique en hauteur est une activité en autonomie, sans encadrement.  Les consignes de sécurité données par l’opérateur au départ doivent être respectées.  Les enfants de 4 à 16 ans doivent être accompagnés par un adulte superviseur pratiquant ou non.  Pour les groupes, créneaux supplémentaires, renseignez-vous. Réservations en ligne conseillée, dans le cas d’une présentation spontanée à l’accueil du parc pour acheter vos entrées, nous ne pourrons vous garantir la disponibilité des équipements.  Prestations et Services  :  Boissons  -  Glaces  - Tables de pique-nique  - Gants en vente  - Toilettes (parking)"
